CNPJ,nome fantasia,razao social,Nome contato,Setor,Atividade (CNAE),Endereço,Número,Bairro,Cidade,UF,CEP,PORTE,Fundação,Capital Social,MEI,Simples,Origem,Site,email,telefone,socio
00208824000151,GRIFFA ESPORTES,MATTEI REPRESENTACOES LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CURITIBA,130,CENTRO,CHAPECO,SC,89801340,Micro Empresa,27/09/1994,,Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,mattei@umbro.com.br,49  99878370,"DORLEI JOSE MATTEI (Sócio-Administrador),DORLEI JOSE MATTEI (Titular Pessoa Física Residente Ou Domiciliado No Brasil),MATEUS WAGNER MATTEI (SÓCIO/ADMINISTRADOR),MATEUS WAGNER MATTEI (Titular Pessoa Física Residente Ou Domiciliado No Brasil)"
13516988000198,EXITO EMPRESARIAL,"JBB CONSULTORIA, ASSESSORIA E TREINAMENTO LTDA",,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CUBA,619-D,LIDER,CHAPECO,SC,89805228,Micro Empresa,15/04/2011,"30.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  99554888,"CLEITON JUAREZ HAMMES (SÓCIO/ADMINISTRADOR),ELIANA APARECIDA CANSIAN (SÓCIO/ADMINISTRADOR),ROMULO SCHERER BALDISSERA (Sócio-Administrador)"
24868526000156,CONQUISTA ASSESSORIA EMPRESARIAL,MANOELA DE FATIMA MEDEIROS ASSESSORIA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA CORONEL RUPP,2693,CENTRO,CATANDUVAS,SC,89670000,Micro Empresa,24/05/2016,"15.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  99465826,
19137243000102,FOCCUS CONSULTORIA EMPRESARIAL,VP CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA HENRIQUE WALTRICK,10,BOM JESUS,LAGES,SC,88503470,Micro Empresa,24/10/2013,"5.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  99295492,"FABRICIA BASTOS BORBA (Sócio-Administrador),PATRICK VARGAS FERON (SÓCIO/ADMINISTRADOR),VANESSA CASTANHEIRO PINTO (Sócio-Administrador)"
23259147000104,PNSP CONSULTORIA,PNSP CONSULTORIA E REPRESENTACAO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA VEREADOR PEDRO JOHAN,215,CENTRO,DIONISIO CERQUEIRA,SC,89950000,Micro Empresa,11/09/2015,"40.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),pnspconsultoria.com,pedro@pnspconsultoria.com,49  99285552,"NADIA MARIA SCHLICHTING (SÓCIO/ADMINISTRADOR),PEDRO NELSON SCHLICHTING PARCIANELLO (Sócio-Administrador)"
03114554000108,ORQUESTRA -ASSESSORIA E ADMINISTRACAO HOSPITALAR,GLENO J. V. MOCELLIN - ASSESSORIA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA PORTO ALEGRE,287,CENTRO,CHAPECO,SC,89802130,Micro Empresa,30/03/1999,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  99232986,
04136863000141,,CONSILIUM PLANEJAMENTO E GESTAO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JERONIMO REDANTE,266,ERNESTO ZORTEA,CAMPOS NOVOS,SC,89620000,Micro Empresa,10/11/2000,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,ricardoklein@brturbo.com.br,49  99119892,"AGOSTINHO DE SOUZA (SÓCIO/ADMINISTRADOR),RICARDO LUIZ KLEIN (Sócio-Administrador)"
03063679000156,SUUM CUIQUE,SUUM CUIQUE CONSULTORIA EM GESTAO EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CLAUDIO STAKONSKI,90,PARAISO,CHAPECO,SC,89806154,Micro Empresa,11/03/1999,"25.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,contato@heldermorais.com.br,49  91770809,HELDER AGOSTINHO DIAS MORAIS (Sócio-Administrador)
21807358000109,,CAMINHO GESTAO DE NEGOCIOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ADELMIR PRESSANTO,414,CENTRO,CACADOR,SC,89500001,Micro Empresa,02/02/2015,"5.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,eporto@amcham.com.br,49  91717579,"LORENZO EUGENIO HAYMUSSI COSTA PORTO (Sócio Ou Acionista Menor (Assistido/Representado)),MONICA RAQUEL HAYMUSSI (Sócio-Administrador)"
22670536000157,HIPERINOVA CONSULTORIA EMPRESARIAL,HIPERINOVA CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA BENEDITO NOVO,524 E,CRISTO REI,CHAPECO,SC,89810060,Micro Empresa,17/06/2015,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  88639191,"LUCAS MIGUEL GNIGLER (SÓCIO/ADMINISTRADOR),MICHELI KAMILA SANTIN (Sócio-Administrador)"
09005473000156,,HGB COMERCIO REPRESENTACOES E ASSESSORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA DOUTOR CAETANO COSTA JUNIOR,54,CENTRO,LAGES,SC,88502300,Micro Empresa,17/08/2007,"5.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,aureo_amaral@uol.com.br,49  88521675,"HELDER BERNARDO CORREA (Sócio-Administrador),KAROLINE OTAKI RODRIGUES (Sócio-Administrador)"
11729041000130,JM CONSULTORIA AMBIENTAL,JM CONSULTORIA AMBIENTAL LTDA.,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA DA PAZ,211,CENTRO,XANXERE,SC,89820000,Médio/Grande Porte,24/03/2010,"20.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  88327600,"CATIA SILENE LAMONATO (Sócio-Administrador),JULIO CEZAR INACIO (SÓCIO/ADMINISTRADOR)"
03406684000114,,FARO CONSULTORIA E TREINAMENTO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ALMIRANTE BARROSO,169,CENTRO,SAO MIGUEL DO OESTE,SC,89900000,Micro Empresa,20/09/1999,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,zanatta@smo.com.br,49  88293797,"MARCIA ADRIANA DANIEL TONET (SÓCIO/ADMINISTRADOR),NICOLAU ROSA DA SILVA (SÓCIO/ADMINISTRADOR),RENATO ROMANCINI (Sócio-Administrador)"
24997094000183,,MELLO & ROSA ASSOCIADOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA BORGES DE MEDEIROS - E,868 E,PRESIDENTE MEDICI,CHAPECO,SC,89801161,Micro Empresa,14/06/2016,"40.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  88270509,FERNANDA CHAVES ROSA DA SILVA (SÓCIO/ADMINISTRADOR)
22875695000198,,VERIDIANE ENDRES MARKETING DIGITAL E NEGOCIOS,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA MARECHAL JOSE B. BORMANN,554,JARDIM ITALIA,CHAPECO,SC,89802121,Micro Empresa,17/07/2015,"5.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,veridiane_endres@yahoo.com.br,49  88264443,
05164507000102,PIRAMIDE REPRESENTACOES,AUDIOCOM PRODUCOES E COMUNICACAO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA 7 DE SETEMBRO,189,CENTRO,MODELO,SC,89872000,Micro Empresa,24/07/2002,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  88084446,"GELSON GILMAR RADKE LENZ (Sócio-Administrador),LUIS ANTONIO STOCHERO (SÓCIO/ADMINISTRADOR)"
20508224000116,BRASEG AMBIENTAL,BRASEG AMBIENTAL LTDA.,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ABDALLA JOAO,105,BERGER,CACADOR,SC,89500431,Micro Empresa,25/06/2014,"5.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  88018027,"JOVANI LUIZ FUSIEGER (Sócio-Administrador),TIAGO LUIZ DA SILVA (SÓCIO/ADMINISTRADOR)"
02428933000100,,XAXIM GESTAO EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RODOVIA BR 282 KM 523,SN,INDUSTRIAL,XAXIM,SC,89825000,Micro Empresa,14/03/1998,"440.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  84277006,"BEN HUR ANTONIO RIGOTTI (Sócio-Administrador),CESAR LUIZ RIGOTTI (Sócio-Administrador)"
04127500000140,EFC ASSESSORIA,EFFECTIVE FINANCE CONSULTING & ASSESSORIA ADMINISTRATIVA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CIRINO REICHERT,254,CENTRO,SAO CARLOS,SC,89885000,Micro Empresa,30/10/2000,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,efcassessoria@bol.com.br  ou efcassessoria@yahoo.com.br,49  84113658,"SIDNEI CARLOS LEBENS (Sócio-Administrador),VANESSA KIELING LEBENS (SÓCIO/ADMINISTRADOR)"
22028098000128,WLS SERVICOS E COMERCIO,WLS SERVICOS E COMERCIO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JACOB DUPONT FILHO,111,CENTRO,SAO CARLOS,SC,89885000,Micro Empresa,11/03/2015,"70.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,le_schafer@hotmail.com,49  84050466,"LEANDRO SCHAFER (Sócio-Administrador),WINFRIED SCHAFER (SÓCIO/ADMINISTRADOR)"
00149355000147,FABIO MEYER CONSULT,FABIO MEYER CONSULT - CONSULTORIA EM GESTAO EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CORONEL MARCOS GONCALVES DE FARIAS,390,CENTRO,CURITIBANOS,SC,89520000,Micro Empresa,18/08/1994,"20.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  84039950,"DEBORA MENDES FABRIS CORDEIRO (Sócio-Administrador),FABIO MEYER SABOIA CORDEIRO (Sócio-Administrador)"
06049058000106,,HAZA CONSULTORIA E ASSESSORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA FELIPE SCHIMIDT,476,CENTRO,JOACABA,SC,89600000,Micro Empresa,09/12/2003,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  5221200,HORIVIL ZAGO (SÓCIO/ADMINISTRADOR)
05532911000183,T.J. REPRESENTACOES,T J CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA PROFESSOR JOSE DE ANDRADE,928,CENTRO,ABELARDO LUZ,SC,89830000,Micro Empresa,21/02/2003,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,jmatheus@frosinet.com.br,49  4454589,"SERGIO JUNIOR PICCININ (SÓCIO/ADMINISTRADOR),TERESINHA MARIA PICCININ (Sócio-Administrador)"
02544340000109,DOME EXPERTISE TRIBUTARIA,DOME CONSULTORIA EMPRESARIAL SS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CONDA,390-E,MARIA GORETTI,CHAPECO,SC,89801130,Médio/Grande Porte,02/05/1998,"650.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,coord.processosadm@vempradome.com.br,49  39053650,
19191042000185,GALERA CONSULTORIA,GALERA CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA EUCLIDES DA CUNHA,794,CENTRO,MARAVILHA,SC,89874000,Médio/Grande Porte,04/11/2013,"350.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  36643507,"HELIO GOTARDO GALERA (SÓCIO/ADMINISTRADOR),MARCO ANTONIO SCARIOT (SÓCIO/ADMINISTRADOR),SIMONE GALERA (Sócio-Administrador)"
05567328000108,,MOBIL EMPREENDIMENTOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JOSE BONIFACIO,165,CENTRO,MARAVILHA,SC,89874000,Médio/Grande Porte,14/03/2003,"500.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,atendimento@sommarcontabilidade.com.br,49  36640489,"JEAN TUMELERO (SÓCIO/ADMINISTRADOR),TANIA MARIA SABADIN TUMELERO (Sócio-Administrador)"
01733128000127,JOVEMINVEST PARTICIPACOES,JOVEMINVEST INVESTIMENTOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA MONTE ALVERNE,222,CENTRO,IPORA DO OESTE,SC,89899000,Micro Empresa,10/03/1997,"110.211,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  36341180,"ALEXANDRE CIPRIANI SCHWENGBER (SÓCIO/ADMINISTRADOR),ALEXANDRE ENGEL RUSCHEINSKY (Sócio-Administrador),CLEITON CONRAD (SÓCIO/ADMINISTRADOR),DANIEL EDUARDO DOTTO (SÓCIO/ADMINISTRADOR),ELVIS AUGUSTO BACK (SÓCIO/ADMINISTRADOR),FERNANDO OTT (SÓCIO/ADMINISTRADOR),GILMAR LUIS KLEIN (SÓCIO/ADMINISTRADOR),GUSTAVO ROSSI PRASS (Sócio-Administrador),LUCIO MALLMANN (SÓCIO/ADMINISTRADOR),NILSON ELIAS WERLANG (SÓCIO/ADMINISTRADOR),PABLO KIST ARIENTI (Sócio-Administrador),PEDRO EICH (SÓCIO/ADMINISTRADOR),SIMONE JUNGKENN (SÓCIO/ADMINISTRADOR),SIMONE KLUNK (SÓCIO/ADMINISTRADOR),VIRLEI WANDSCHER (SÓCIO/ADMINISTRADOR)"
24942613000106,,DARCI ZANOTELLI EIRELI,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA WALDEMAR RANGRAB,2223,SAO JORGE,SAO MIGUEL DO OESTE,SC,89900000,Micro Empresa,06/06/2016,"88.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  36310300,DARCI ZANOTELLI (Titular Pessoa Física Residente Ou Domiciliado No Brasil Ou Titular Pessoa Física Residente)
05414549000146,,SCHUNIG CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA FIORINDO PIRES,15,ALVORADA,VIDEIRA,SC,89562034,Micro Empresa,28/11/2002,"5.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,49  35667417,"DANIELI CRISTINE DAL PASQUALE (SÓCIO/ADMINISTRADOR),MARCELO ANTONIO SCHUNIG (Sócio-Administrador)"
02967482000189,CONSULTORIA E ASSESSORIA EMPRESARIAL,FENDT JACOVAS CONSULTORIA E ASSESSORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA AUGUSTO DRIESSEN,150,SORGATTO,CACADOR,SC,89500001,Médio/Grande Porte,08/02/1999,"13.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,49  35633426,AMANDA VITORIA FENDT JACOVAS (Sócio Ou Acionista Menor (Assistido/Representado))
03568956000182,,MP CONSULTORES ASSOCIADOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA VICTOR BAPTISTA ADAMI,26,CENTRO,CACADOR,SC,89500001,Micro Empresa,22/12/1999,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,business@conection.com.br,49  35630400,"JANETE BOESING ALVES NUNES (SÓCIO/ADMINISTRADOR),MARCELO ALVES NUNES (Sócio-Administrador)"
06080215000146,,SEGMETRE AMBIENTAL ASSESSORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA POETA J AMAZONAS,371,REUNIDAS,CACADOR,SC,89504515,Médio/Grande Porte,23/01/2004,"40.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,contabilidade@contabilbertotto.com.br,49  35610700,"JOAO CARLOS SCHUMACHER (Sócio-Administrador),NEUSA BALESTRIN SCHUMACHER (Sócio-Administrador)"
06055468000160,,L. A. CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA SIEGFRIED LUHRS,150,CENTRO,CACADOR,SC,89500052,Pequeno Porte,26/11/2003,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,empresas@contabilbertotto.com.br,49  35610700,"LUIZ CARLOS ARGENTA (Sócio-Administrador),LUIZA HELENA MACHADO ARGENTA (SÓCIO/ADMINISTRADOR)"
20299601000154,VIRTU DESENVOLVIMENTO HUMANO,VIRTU DESENVOLVIMENTO HUMANO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA LEONARDO SPADINI,407,CENTRO,CAPINZAL,SC,89665000,Micro Empresa,15/05/2014,"50.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,contato@virtudh.com.br,49  35554427,AGUINALDO PEDRO PAGGI (SÓCIO/ADMINISTRADOR)
